[30;1m2023-04-26 17:52:22[0m [34;1mINFO    [0m [35mdiscord.client[0m logging in using static token
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Hunger Games Bot', 'mfa_enabled': True, 'id': '1098972033582387260', 'global_name': None, 'flags': 0, 'email': None, 'display_name': None, 'discriminator': '8546', 'bot': True, 'avatar': '66a27c0cea4d2e77af664f2141a8f806'}, 'session_type': 'normal', 'session_id': '34a6b4310f627ae42a153bb1a8441f51', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1098974355322568754'}, {'unavailable': True, 'id': '1100831439014084648'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['atlanta', 'us-east', 'newark', 'us-central', 'us-south'], 'application': {'id': '1098972033582387260', 'flags': 19439616}, '_trace': ['["gateway-prd-us-east1-c-6n17",{"micros":115067,"calls":["id_created",{"micros":1432,"calls":[]},"session_lookup_time",{"micros":3322,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-56",{"micros":109158,"calls":["start_session",{"micros":43829,"calls":["discord-api-84ff948f7c-p6k85",{"micros":39085,"calls":["get_user",{"micros":10570},"get_guilds",{"micros":4337},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":545},"authorized_ip_coro",{"micros":12}]}]},"starting_guild_connect",{"micros":48,"calls":[]},"presence_started",{"micros":42745,"calls":[]},"guilds_started",{"micros":146,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":22359,"calls":[]},"connect_finished",{"micros":22364,"calls":[]},"build_ready",{"micros":22,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-04-26 17:52:23[0m [34;1mINFO    [0m [35mdiscord.gateway[0m Shard ID None has connected to Gateway (Session ID: 34a6b4310f627ae42a153bb1a8441f51).
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event connect
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'description': None, 'max_video_channel_users': 25, 'lazy': True, 'home_header': None, 'vanity_url_code': None, 'embedded_activities': [], 'rules_channel_id': None, 'max_members': 500000, 'safety_alerts_channel_id': None, 'premium_tier': 0, 'guild_scheduled_events': [], 'verification_level': 0, 'emojis': [], 'hub_type': None, 'id': '1100831439014084648', 'premium_progress_bar_enabled': False, 'owner_id': '618957089833877518', 'premium_subscription_count': 0, 'roles': [{'version': 1682529067610, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '137411140505153', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1100831439014084648', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1682529079584, 'unicode_emoji': None, 'tags': {'bot_id': '1098972033582387260'}, 'position': 1, 'permissions': '8', 'name': 'Hunger Games Bot', 'mentionable': False, 'managed': True, 'id': '1100831489253449812', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'application_id': None, 'large': False, 'nsfw_level': 0, 'max_stage_video_channel_users': 50, 'threads': [], 'system_channel_id': '1100831439479636059', 'nsfw': False, 'channels': [{'version': 1682529067614, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1100831439014084649', 'flags': 0}, {'version': 1682529067620, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1100831439014084650', 'flags': 0}, {'version': 1682529067636, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1100831439014084649', 'name': 'general', 'last_message_id': '1100834841286688818', 'id': '1100831439479636059', 'flags': 0}, {'version': 1682529067644, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1100831439014084650', 'name': 'General', 'last_message_id': None, 'id': '1100831439479636060', 'flags': 0, 'bitrate': 64000}], 'region': 'deprecated', 'stickers': [], 'icon': None, 'member_count': 2, 'explicit_content_filter': 0, 'presences': [{'user': {'id': '618957089833877518'}, 'status': 'dnd', 'client_status': {'web': 'dnd'}, 'activities': []}, {'user': {'id': '1098972033582387260'}, 'status': 'online', 'client_status': {'web': 'online'}, 'activities': []}], 'features': [], 'system_channel_flags': 0, 'voice_states': [], 'mfa_level': 0, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'phV+fw'}, 'metadata': {'omitted': False, 'hash': '1GSuYw'}, 'channels': {'omitted': False, 'hash': 'hIYatQ'}}, 'discovery_splash': None, 'banner': None, 'latest_onboarding_question_id': None, 'preferred_locale': 'en-US', 'unavailable': False, 'afk_channel_id': None, 'application_command_counts': {}, 'afk_timeout': 300, 'splash': None, 'default_message_notifications': 0, 'name': 'test', 'members': [{'user': {'username': 'SoullessBody', 'public_flags': 4194304, 'id': '618957089833877518', 'global_name': None, 'display_name': None, 'discriminator': '3360', 'bot': False, 'avatar_decoration': 'v2_a_700e6968d847aaa78b7063dc44b8ca9f', 'avatar': 'a_dd671786043883c29089db73846f518f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-26T17:11:07.534000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Hunger Games Bot', 'public_flags': 0, 'id': '1098972033582387260', 'global_name': None, 'display_name': None, 'discriminator': '8546', 'bot': True, 'avatar_decoration': None, 'avatar': '66a27c0cea4d2e77af664f2141a8f806'}, 'roles': ['1100831489253449812'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-26T17:11:19.616080+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'joined_at': '2023-04-26T17:11:19.616080+00:00', 'public_updates_channel_id': None, 'stage_instances': []}}
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event guild_available
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'description': None, 'max_video_channel_users': 25, 'lazy': True, 'home_header': None, 'vanity_url_code': None, 'embedded_activities': [], 'rules_channel_id': '1099442594490101820', 'max_members': 500000, 'safety_alerts_channel_id': None, 'premium_tier': 1, 'guild_scheduled_events': [], 'verification_level': 1, 'emojis': [], 'hub_type': None, 'id': '1098974355322568754', 'premium_progress_bar_enabled': False, 'owner_id': '618957089833877518', 'premium_subscription_count': 5, 'roles': [{'version': 1682224945809, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '97450764602945', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1098974355322568754', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1682222576169, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '8', 'name': 'Product Owner', 'mentionable': True, 'managed': False, 'id': '1098979823516393477', 'icon': None, 'hoist': True, 'flags': 0, 'color': 1288191}, {'version': 1682222576166, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '2177048578', 'name': 'Developer', 'mentionable': True, 'managed': False, 'id': '1098980345052942368', 'icon': None, 'hoist': True, 'flags': 0, 'color': 12745742}, {'version': 1682513516656, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '39582418599936', 'name': 'Supporter', 'mentionable': False, 'managed': False, 'id': '1099130663329874021', 'icon': None, 'hoist': True, 'flags': 0, 'color': 15122049}, {'version': 1682513516651, 'unicode_emoji': None, 'tags': {'premium_subscriber': None}, 'position': 2, 'permissions': '97828721774145', 'name': 'Server Booster', 'mentionable': False, 'managed': True, 'id': '1099506847226024046', 'icon': None, 'hoist': False, 'flags': 0, 'color': 16023551}, {'version': 1682513516823, 'unicode_emoji': None, 'tags': {'bot_id': '1098972033582387260'}, 'position': 1, 'permissions': '10432425753840', 'name': 'Hunger Games Bot', 'mentionable': False, 'managed': True, 'id': '1100759392112103480', 'icon': None, 'hoist': True, 'flags': 0, 'color': 3066993}], 'application_id': None, 'large': False, 'nsfw_level': 0, 'max_stage_video_channel_users': 50, 'threads': [], 'system_channel_id': '1098974355859443792', 'nsfw': False, 'channels': [{'version': 1682086304377, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1098974355322568755', 'flags': 0}, {'version': 1682087993014, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': 'Voice Channels', 'id': '1098974355322568756', 'flags': 0}, {'version': 1682511865485, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '0', 'allow': '3072'}], 'parent_id': '1098974355322568755', 'nsfw': False, 'name': 'general', 'last_message_id': '1100827751956627467', 'id': '1098974355859443792', 'flags': 0}, {'version': 1682086304404, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1098974355322568756', 'name': 'General', 'last_message_id': None, 'id': '1098974355859443793', 'flags': 0, 'bitrate': 64000}, {'version': 1682199385202, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '516201695249', 'allow': '64'}], 'parent_id': '1098981425102983189', 'nsfw': False, 'name': 'update-log', 'last_message_id': '1100221028011102319', 'id': '1098981154813661215', 'flags': 0}, {'version': 1682087989834, 'type': 4, 'position': 1, 'permission_overwrites': [], 'parent_id': None, 'name': 'DEVELOPMENT', 'id': '1098981425102983189', 'flags': 0}, {'version': 1682088155430, 'type': 4, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1098980345052942368', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': 'TEAM', 'id': '1098982119264485428', 'flags': 0}, {'version': 1682447716449, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1098980345052942368', 'deny': '0', 'allow': '1024'}], 'parent_id': '1098982119264485428', 'nsfw': False, 'name': 'team-chat', 'last_message_id': '1100832545144324266', 'id': '1098982239401947289', 'flags': 0}, {'version': 1682517272723, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [{'type': 0, 'id': '1100759392112103480', 'deny': '0', 'allow': '70904273435729'}, {'type': 0, 'id': '1098974355322568754', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1098980345052942368', 'deny': '0', 'allow': '1024'}], 'parent_id': '1098981425102983189', 'nsfw': False, 'name': 'testing-private', 'last_message_id': '1100838065632706560', 'id': '1098987530478698690', 'flags': 0}, {'version': 1682097674059, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '2048', 'allow': '0'}], 'parent_id': '1098974355322568755', 'nsfw': False, 'name': 'announcements', 'last_message_id': '1099051141842608138', 'id': '1099022001647132742', 'flags': 0}, {'version': 1682511865532, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '0', 'allow': '2048'}], 'parent_id': '1098981425102983189', 'nsfw': False, 'name': 'suggestions', 'last_message_id': None, 'id': '1099035128107380776', 'flags': 0}, {'version': 1682199385273, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '2112', 'allow': '0'}], 'parent_id': '1098981425102983189', 'nsfw': False, 'name': 'polls', 'last_message_id': '1100485636349243392', 'id': '1099045473341411390', 'flags': 0}, {'version': 1682224562502, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '0', 'allow': '2048'}, {'type': 1, 'id': '618957089833877518', 'deny': '0', 'allow': '2048'}], 'parent_id': '1098974355322568755', 'nsfw': False, 'name': 'bot-commands', 'last_message_id': '1100147156607836211', 'id': '1099046748346916874', 'flags': 0}, {'version': 1682447716396, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1098980345052942368', 'deny': '0', 'allow': '1024'}], 'parent_id': '1098981425102983189', 'nsfw': False, 'name': 'notes', 'last_message_id': '1099054851628994641', 'id': '1099053181830443068', 'flags': 0}, {'version': 1682199385136, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1098974355322568754', 'deny': '2048', 'allow': '0'}], 'parent_id': '1098974355322568755', 'nsfw': False, 'name': 'rules', 'last_message_id': '1099448565769715784', 'id': '1099442594490101820', 'flags': 0}], 'region': 'deprecated', 'stickers': [], 'icon': '48d07817a03e6a13f6172167d50d01c1', 'member_count': 17, 'explicit_content_filter': 2, 'presences': [{'user': {'id': '261972282493108225'}, 'status': 'dnd', 'client_status': {'desktop': 'dnd'}, 'activities': [{'type': 0, 'timestamps': {'start': 1682531097056}, 'name': 'Roblox', 'id': 'd35df36e7acd60cc', 'created_at': 1682531097668, 'application_id': '363445589247131668'}]}, {'user': {'id': '391234526430625823'}, 'status': 'dnd', 'client_status': {'web': 'dnd', 'desktop': 'dnd'}, 'activities': [{'type': 2, 'timestamps': {'start': 1682531451677, 'end': 1682531563983}, 'sync_id': '2QSsbQZZv3OiZG0KCQiEYs', 'state': 'Zeek Power', 'session_id': '1696e592d7042253351a3f64fab4a9ff', 'party': {'id': 'spotify:391234526430625823'}, 'name': 'Spotify', 'id': 'spotify:1', 'flags': 48, 'details': 'Feels - The Voice Australia 2019 Performance / Live', 'created_at': 1682531453068, 'assets': {'large_text': 'Feels (The Voice Australia 2019 Performance / Live)', 'large_image': 'spotify:ab67616d0000b2734f1fa3f3f66d9e4418b4535d'}}]}, {'user': {'id': '409691524826398720'}, 'status': 'dnd', 'client_status': {'desktop': 'dnd'}, 'activities': [{'type': 4, 'state': 'synapse oath', 'name': 'Custom Status', 'id': 'custom', 'emoji': {'name': '🙀'}, 'created_at': 1682531124577}, {'type': 0, 'timestamps': {'start': 1682526568947}, 'name': 'Roblox', 'id': 'dac1e262c60b796a', 'created_at': 1682526568943, 'application_id': '363445589247131668'}]}, {'user': {'id': '618957089833877518'}, 'status': 'dnd', 'client_status': {'web': 'dnd'}, 'activities': []}, {'user': {'id': '676326360150441994'}, 'status': 'dnd', 'client_status': {'web': 'dnd'}, 'activities': [{'type': 4, 'state': 'constructing a shack', 'name': 'Custom Status', 'id': 'custom', 'created_at': 1682523295171}]}, {'user': {'id': '682360634981089290'}, 'status': 'dnd', 'client_status': {'web': 'dnd', 'mobile': 'dnd'}, 'activities': [{'type': 4, 'state': 'Eid Mubarak', 'name': 'Custom Status', 'id': 'custom', 'emoji': {'name': 'otmeyebrow', 'id': '892890760096129115', 'animated': False}, 'created_at': 1682531527362}]}, {'user': {'id': '856971748549197865'}, 'status': 'dnd', 'client_status': {'web': 'dnd', 'desktop': 'dnd'}, 'activities': [{'type': 0, 'timestamps': {'start': 1682453483006}, 'session_id': 'f8097f29bbf0510c94534bc3d3df6855', 'name': 'Code', 'id': 'ecd3a2f47c384652', 'flags': 1, 'details': 'Idling', 'created_at': 1682530011020, 'assets': {'small_text': 'zZz', 'small_image': 'mp:external/Y6xAhARpHfRM8Bkdw0a1ZkbTAIXqKJFmrSAvHjKs6B0/https/raw.githubusercontent.com/LeonardSSH/vscord/main/assets/icons/idle.png', 'large_text': 'Idling', 'large_image': 'mp:external/ByjawWsm2QtMAOa2doThD3bIfP42xs9pmNqRE9rs1X4/https/raw.githubusercontent.com/LeonardSSH/vscord/main/assets/icons/idle-vscode.png'}, 'application_id': '782685898163617802'}]}, {'user': {'id': '948963437843730442'}, 'status': 'online', 'client_status': {'mobile': 'online', 'desktop': 'online'}, 'activities': []}, {'user': {'id': '1098972033582387260'}, 'status': 'online', 'client_status': {'web': 'online'}, 'activities': []}], 'features': ['ANIMATED_ICON', 'NEWS', 'SOUNDBOARD', 'CREATOR_MONETIZABLE_PROVISIONAL', 'INVITE_SPLASH', 'COMMUNITY', 'ROLE_SUBSCRIPTIONS_ENABLED', 'CREATOR_ACCEPTED_NEW_TERMS', 'AUTO_MODERATION', 'THREE_DAY_THREAD_ARCHIVE'], 'system_channel_flags': 0, 'voice_states': [], 'mfa_level': 1, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'lV2qaQ'}, 'metadata': {'omitted': False, 'hash': 'Y28u0g'}, 'channels': {'omitted': False, 'hash': 'amuOxw'}}, 'discovery_splash': None, 'banner': None, 'latest_onboarding_question_id': None, 'preferred_locale': 'en-US', 'unavailable': False, 'afk_channel_id': None, 'application_command_counts': {}, 'afk_timeout': 300, 'splash': None, 'default_message_notifications': 1, 'name': 'Hunger Games Bot', 'members': [{'user': {'username': 'Weiss', 'public_flags': 128, 'id': '261972282493108225', 'global_name': None, 'display_name': None, 'discriminator': '4206', 'bot': False, 'avatar_decoration': 'v2_a_9c70ff0db80d85ee6d9690a0eeded0c8', 'avatar': '530aaf4538b3d97c3e8dfb5504e43abf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T18:57:11.444212+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'sauce', 'public_flags': 128, 'id': '284073748334903297', 'global_name': None, 'display_name': None, 'discriminator': '1234', 'bot': False, 'avatar_decoration': 'v2_a_669e4e5337a7ebeffd87fe3f1008535f', 'avatar': 'a_3f745650725370270012f82f548502b1'}, 'roles': ['1099130663329874021', '1099506847226024046'], 'premium_since': '2023-04-24T12:24:18.289000+00:00', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T16:40:36.302000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'furofo', 'public_flags': 0, 'id': '343562602552492034', 'global_name': None, 'display_name': None, 'discriminator': '3990', 'bot': False, 'avatar_decoration': None, 'avatar': '15148c56377600fee3051b71a5908034'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T19:26:46.765123+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'lausyguy', 'public_flags': 4194368, 'id': '391234526430625823', 'global_name': None, 'display_name': None, 'discriminator': '0001', 'bot': False, 'avatar_decoration': None, 'avatar': '49b55c1af6998f36747e94569d6a6b99'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T20:21:57.648995+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Aster', 'public_flags': 64, 'id': '407462333687005187', 'global_name': None, 'display_name': None, 'discriminator': '0101', 'bot': False, 'avatar_decoration': None, 'avatar': '0dc01764f004266c2838fcbf7b85a35f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T14:25:06.601174+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'bandits', 'public_flags': 256, 'id': '409691524826398720', 'global_name': None, 'display_name': None, 'discriminator': '4002', 'bot': False, 'avatar_decoration': None, 'avatar': '99972d171513dd7597dd3254cba12774'}, 'roles': ['1099130663329874021', '1099506847226024046'], 'premium_since': '2023-04-24T12:29:08.628000+00:00', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-24T12:28:39.679000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Be', 'public_flags': 0, 'id': '505489804557811722', 'global_name': None, 'display_name': None, 'discriminator': '6862', 'bot': False, 'avatar_decoration': None, 'avatar': 'afd8a494eaf942193b0732ee6554169d'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-22T18:57:43.520399+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'SoullessBody', 'public_flags': 4194304, 'id': '618957089833877518', 'global_name': None, 'display_name': None, 'discriminator': '3360', 'bot': False, 'avatar_decoration': 'v2_a_700e6968d847aaa78b7063dc44b8ca9f', 'avatar': 'a_dd671786043883c29089db73846f518f'}, 'roles': ['1098980345052942368', '1098979823516393477', '1099506847226024046'], 'premium_since': '2023-04-23T01:27:40.008000+00:00', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T14:11:44.316000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Tokyo.', 'public_flags': 64, 'id': '676326360150441994', 'global_name': None, 'display_name': None, 'discriminator': '0001', 'bot': False, 'avatar_decoration': None, 'avatar': '6bcbba25b22580a4c3f34e44427207a1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T17:07:18.014838+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Kura', 'public_flags': 128, 'id': '682360634981089290', 'global_name': None, 'display_name': None, 'discriminator': '0007', 'bot': False, 'avatar_decoration': None, 'avatar': '348d2b4fe8b8e5c78835e1a11b4def22'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T14:25:19.423167+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'contentoryan', 'public_flags': 0, 'id': '694317460240728094', 'global_name': None, 'display_name': None, 'discriminator': '0759', 'bot': False, 'avatar_decoration': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T20:05:33.150582+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Farfaraway', 'public_flags': 0, 'id': '744289265802018869', 'global_name': None, 'display_name': None, 'discriminator': '8680', 'bot': False, 'avatar_decoration': 'v2_a_0b2d5d75d4f1287befda6b2180aec41d', 'avatar': '123654ee1fc32b011999ee8bd4442fe7'}, 'roles': ['1098980345052942368', '1099130663329874021', '1099506847226024046'], 'premium_since': '2023-04-23T07:24:47.832000+00:00', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T14:24:59.789000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'HaZe', 'public_flags': 64, 'id': '780101995344166973', 'global_name': None, 'display_name': None, 'discriminator': '0410', 'bot': False, 'avatar_decoration': None, 'avatar': 'a_b1cac32df6bbe11fb182d7f4accad6ca'}, 'roles': ['1099130663329874021', '1099506847226024046'], 'premium_since': '2023-04-25T01:14:18.883000+00:00', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-24T01:42:44.792000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'marko!', 'public_flags': 4194432, 'id': '856971748549197865', 'global_name': None, 'display_name': None, 'discriminator': '2543', 'bot': False, 'avatar_decoration': None, 'avatar': 'd90980ee0a19b30c8faa5d3bcf0deb6e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-26T16:50:06.227970+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Seresutiaru', 'public_flags': 4194560, 'id': '948963437843730442', 'global_name': None, 'display_name': None, 'discriminator': '0001', 'bot': False, 'avatar_decoration': 'v2_a_f2627b85499c9c65683bff2e47c5f0d4', 'avatar': 'a_0864fea0358bacbe3ed376f847340034'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-24T18:57:48.416762+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'liebe', 'public_flags': 64, 'id': '951961539303321630', 'global_name': None, 'display_name': None, 'discriminator': '0001', 'bot': False, 'avatar_decoration': None, 'avatar': 'e6971da089411d15f62ef7b1256d5362'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-21T15:22:11.172705+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Hunger Games Bot', 'public_flags': 0, 'id': '1098972033582387260', 'global_name': None, 'display_name': None, 'discriminator': '8546', 'bot': True, 'avatar_decoration': None, 'avatar': '66a27c0cea4d2e77af664f2141a8f806'}, 'roles': ['1100759392112103480'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-04-26T12:24:50.317414+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'joined_at': '2023-04-26T12:24:50.317414+00:00', 'public_updates_channel_id': '1098982239401947289', 'stage_instances': []}}
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-04-26 17:52:23[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event guild_available
[30;1m2023-04-26 17:52:25[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event ready
[30;1m2023-04-26 17:52:45[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 4, 'op': 0, 'd': {'user': {'id': '391234526430625823'}, 'status': 'dnd', 'guild_id': '1098974355322568754', 'client_status': {'web': 'dnd', 'desktop': 'dnd'}, 'activities': [{'type': 2, 'timestamps': {'start': 1682531563814, 'end': 1682531775174}, 'sync_id': '29VLdEqFvd0l4JFscCnrp7', 'state': 'The Vamps', 'session_id': '1696e592d7042253351a3f64fab4a9ff', 'party': {'id': 'spotify:391234526430625823'}, 'name': 'Spotify', 'id': 'spotify:1', 'flags': 48, 'details': 'Just My Type', 'created_at': 1682531565855, 'assets': {'large_text': 'Night & Day (Day Edition)', 'large_image': 'spotify:ab67616d0000b2730c232fde2858d83554d58841'}}]}}
[30;1m2023-04-26 17:52:45[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-04-26 17:52:45[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event presence_update
